Titles,VideoIDs,ChannelIDs,Views,Subs_count
김뿡,0qfXPIBFyHA,UCK3k-JljWSFBYCPCtvrhbvg,929,109000
꼽줘버린 [김뿡],R709HNxj1Jc,UCK3k-JljWSFBYCPCtvrhbvg,20666,109000
분명 지누형 생일기념 탈출맵이라고 했는데... [김뿡],c0qQJNZZ2Ns,UCK3k-JljWSFBYCPCtvrhbvg,60238,109000
[ 2023. 08. 25 아웃라스트 트라이얼 w. 지누 코렛트 탬탬버린 ],Gu2jUQy8zf0,UCa4GCwCq8MFAVz7IcHGE3ug,3203,9070
같은 파티원 유니온 상태 크아아아악!!!!! [김뿡],DkRSLsZ6p_Y,UCK3k-JljWSFBYCPCtvrhbvg,89400,109000
여자어 못 알아먹는 김뿡,75jJOwf0L9U,UC7DOU0Svi8jyEWBUH0nnD4g,1772,2530
혀ㅕ...혀...형.....!!!! [김뿡],DTRH51Z3O7E,UCK3k-JljWSFBYCPCtvrhbvg,67926,109000
김뿡 쳇바퀴,0qfXPIBFyHA,UCa4GCwCq8MFAVz7IcHGE3ug,929,9070
【 23.08.24 이터널리턴(w 김뿡 실프)】 - 스나랑 다시보기,bU7X9CdYmdQ,UCfPC-CKqhZxIS5zdQxmln3Q,185,14400
그럼 화면을 돌려 [김뿡],KZ6f06EiQY8,UCK3k-JljWSFBYCPCtvrhbvg,52178,109000
일본어를 애니로만 배웠을 때 생기는 일 ㅋㅋㅋㅋㅋ [김뿡],3cFHum3poAA,UCK3k-JljWSFBYCPCtvrhbvg,123725,109000
아이돌에게 이름을 다 빼앗긴 김씨 [김뿡],IwRug-zQ7co,UCK3k-JljWSFBYCPCtvrhbvg,96922,109000
우우 이춘향은 사과해라 [김뿡],QJqLloa8yyw,UCK3k-JljWSFBYCPCtvrhbvg,113034,109000
한 번 들으면 빠져나올 수 없는 노래 [김뿡],bsMXJB5syO8,UCK3k-JljWSFBYCPCtvrhbvg,85495,109000
김뿡X모양 (feat. 뢴트게늄) 크림소다와 샹들리에 KOREAN COVER,RzZYur8mbgI,UCK3k-JljWSFBYCPCtvrhbvg,68093,109000
같은 팀이 될 수 있다면 발이라도 핥겠습니다요 !!!!  [김뿡 주간 하이라이트 8월 1주차],CZjhmuWP0-Q,UCK3k-JljWSFBYCPCtvrhbvg,74271,109000
애교를 보여줘 [김뿡],JvCrN-EpS40,UCK3k-JljWSFBYCPCtvrhbvg,93680,109000
그허는 내가 버흔게 아이쟈냐 [김뿡 하이라이트 23년 6월 ],6h_-BzCcdrQ,UCK3k-JljWSFBYCPCtvrhbvg,67789,109000
생명의 위협 [김뿡],rRQDQv-BY_g,UCK3k-JljWSFBYCPCtvrhbvg,181017,109000
[ 2023. 08. 10 레프트 w. 나나양 램램 이춘향 김자칼 ],joWsvDIZ_Po,UCa4GCwCq8MFAVz7IcHGE3ug,9572,9070
알파메일 김진우 [김뿡],FEbZUq8UIbE,UCK3k-JljWSFBYCPCtvrhbvg,98743,109000
아 저군요 어머니 [김뿡],_-cIdhtscSo,UCK3k-JljWSFBYCPCtvrhbvg,151014,109000
상황극 도합 40년 [김뿡],cxVYDNXxEYY,UCK3k-JljWSFBYCPCtvrhbvg,43651,109000
[ 2023. 08. 07 발로란트 내전 + 노가리 w. 김뚜띠 조디악 지누 삼식 눈꽃 임나은 이춘향 탬탬버린 아구이뽀 ],0FbDQVX6c6g,UCa4GCwCq8MFAVz7IcHGE3ug,9167,9070
너 T발 C야? [김뿡],TtZypQBJESA,UCK3k-JljWSFBYCPCtvrhbvg,29628,109000
아이돌 지망생 [김뿡 주간 하이라이트 23년 3월],dbcY7Mp0udM,UCK3k-JljWSFBYCPCtvrhbvg,91942,109000
[ 2023. 08. 15 발더스 게이트3 w. 고차비 램램 악녀 ],a3pey-xmnD4,UCa4GCwCq8MFAVz7IcHGE3ug,10606,9070
나만 가지고 있는 불법음원 [김뿡 주간 하이라이트 23년 5월 4주차],9WI7eD-16eM,UCK3k-JljWSFBYCPCtvrhbvg,84108,109000
[ 2023. 08. 16 리그오브레전드 w. 감블러 실프 헤징 설백 ],eM_rbRU8lHk,UCa4GCwCq8MFAVz7IcHGE3ug,2832,9070
츄 손자라서 미안해 (악어의 놀이터 1편) [김뿡],gsJ5ck0Zbt0,UCK3k-JljWSFBYCPCtvrhbvg,121457,109000
[ 2023. 08. 02 마크 지누 생일맵 + 온리업 멀티 w. 지누 램램 ],5w8Vyo8PrS4,UCa4GCwCq8MFAVz7IcHGE3ug,15728,9070
호날두 세레머니에 미쳐버린 녀석들 [김뿡],9bjteD8-L60,UCK3k-JljWSFBYCPCtvrhbvg,91626,109000
[ 2023. 06. 30 메이플스토리 보스 트라이 w. 피닉스박 지누 끠끼 탬탬버린 ],s063X9MVB7o,UCa4GCwCq8MFAVz7IcHGE3ug,11613,9070
미친 토크수위 [김뿡],9vXgJFT9HhQ,UCK3k-JljWSFBYCPCtvrhbvg,176424,109000
